feature,score,rank
postreleas,0.07978214899370632,1
prereleas,0.07756364885321078,2
softwar,0.0671563351406316,3
predict,0.05066811656040711,4
studi,0.050012547077342435,5
research,0.04708875400557324,6
articl,0.0470392348635757,7
faulti,0.040335191391467747,8
better,0.0389269110767703,9
believ,0.03356356250102786,10
review,0.033223679385582724,11
seem,0.03047197273910065,12
prone,0.029970412734777963,13
empir,0.029741647113480447,14
largest,0.0286597754729813,15
public,0.028462150767751146,16
200,0.02670184004794939,17
skew,0.025996980019821602,18
data,0.024733916622118376,19
2003,0.024563950548307095,20
object,0.0244198224130049,21
versu,0.023576567984089677,22
industri,0.023441117019128675,23
nasa,0.023335347796115954,24
sourc,0.022366180753096133,25
defect,0.022256137060655056,26
predictor,0.022238621924265588,27
compani,0.022132345453274426,28
halstead,0.021731978299660785,29
train,0.021723359988981658,30
project,0.02170358659651913,31
binomi,0.020299354996624216,32
rank,0.020060797730356728,33
learn,0.019689993577702226,34
quad,0.019325680233018044,35
undisput,0.019234985295582843,36
23,0.01868184572910913,37
statist,0.018634856396670153,38
unnecessarili,0.01862548912484181,39
class,0.018569885131042976,40
lad,0.01799151173901824,41
recaptur,0.017270726388816254,42
rbbag,0.017253853218212302,43
roughli,0.016946925465237066,44
weekli,0.01642276393519317,45
lifecycl,0.016414945420893244,46
churn,0.016185647520647228,47
breadth,0.01580154206261747,48
mccabe,0.015774422091890235,49
invest,0.01552642078369836,50
cmm,0.01533217261412719,51
judgement,0.015327011529990973,52
histori,0.014840688613829848,53
103,0.014547965815025769,54
repositori,0.014514752169217559,55
sap,0.014511584020698801,56
bay,0.01439227608701742,57
ics,0.01415075939606109,58
bn,0.014101237842289543,59
morph,0.013961913274371154,60
set,0.013860444402823864,61
chidamb,0.013855900373084063,62
74,0.01377430269441833,63
inherit,0.013698371647959378,64
decay,0.013600641442340891,65
debat,0.01354785538813353,66
relationship,0.013396936039637115,67
grnn,0.01336307870082596,68
mbt,0.013350967326188663,69
mood,0.013233112010012251,70
c3,0.01298786834555551,71
unlabel,0.012872604485670371,72
1994,0.012804634786881241,73
rvc,0.012791613799391512,74
likewis,0.012624304572935072,75
earli,0.012533143924910896,76
file,0.012491072476233761,77
rup,0.012441590752708169,78
auc,0.01227514419516626,79
prior,0.012250029875479709,80
publicli,0.012246134256232978,81
pessim,0.012180954306421068,82
msr,0.012086769111925948,83
cart,0.012044605068107684,84
aic,0.012004655254380384,85
chum,0.011925025677608775,86
coupl,0.011619032284135477,87
build,0.01157885995905562,88
orient,0.011527871716813742,89
ssm,0.01151235036778164,90
boost,0.011300647902297395,91
multivari,0.011235915747061169,92
1993,0.011176295778076684,93
refere,0.011139603333538549,94
imbal,0.01104530732733584,95
model,0.010832361664440735,96
pf,0.010790034679372689,97
optima,0.010675906542005143,98
71,0.010664415356920373,99
bag,0.010659523911099278,100
