Top 100 TF-IDF features by Chi-squared test:
============================================================
Rank   Feature                        Chi2_Score  
------------------------------------------------------------
1      predictor                      209.962949  
2      predict                        97.136226   
3      metric                         79.858444   
4      chidamb                        74.281943   
5      kemer                          70.886877   
6      prone                          69.263661   
7      nasa                           65.083580   
8      churn                          60.407816   
9      dataset                        60.097346   
10     defect                         53.676385   
11     modul                          52.118783   
12     naiv                           42.124095   
13     empir                          41.913503   
14     regress                        41.502873   
15     ssm                            37.528266   
16     bay                            33.529013   
17     logist                         32.833615   
18     cgbr                           32.534389   
19     releas                         32.520765   
20     pessim                         32.107098   
21     fenton                         31.695175   
22     ohlsson                        31.695175   
23     chum                           31.310550   
24     ranker                         31.205141   
25     class                          31.190059   
26     postreleas                     29.477058   
27     c3                             29.194275   
28     kc1                            27.166177   
29     imbalanc                       27.102482   
30     journal                        27.056624   
31     oo                             26.391710   
32     cart                           26.353433   
33     auc                            25.296924   
34     ck                             23.955434   
35     bn                             23.048242   
36     pc1                            23.032412   
37     grail                          22.301052   
38     holi                           22.301052   
39     repositori                     22.032629   
40     undisput                       21.826430   
41     rup                            21.766245   
42     71                             21.163584   
43     debat                          20.410563   
44     binomi                         20.300084   
45     project                        19.610346   
46     public                         19.567762   
47     stratif                        19.478434   
48     misclassif                     19.457850   
49     qmood                          19.385613   
50     learn                          19.170428   
51     bag                            18.961827   
52     cohes                          18.738704   
53     103                            18.685783   
54     telepres                       18.622264   
55     prereleas                      18.331734   
56     softwar                        18.287264   
57     ics                            18.226662   
58     grnn                           18.226336   
59     mood                           18.022831   
60     mvgnb                          17.532030   
61     aic                            16.848563   
62     ccbo                           16.431789   
63     msr                            16.272431   
64     rvc                            16.172587   
65     c4                             16.082472   
66     inherit                        15.900192   
67     rhino                          15.756014   
68     roughli                        15.590303   
69     studi                          15.260733   
70     mdp                            15.175044   
71     rank                           15.139020   
72     wc                             14.999113   
73     publicli                       14.600363   
74     cm1                            14.464779   
75     jm1                            14.439858   
76     lad                            14.383911   
77     classifi                       13.679301   
78     forest                         13.340125   
79     2003                           13.244818   
80     classif                        13.157428   
81     unnecessarili                  13.142134   
82     plethora                       13.114462   
83     1993                           13.064646   
84     multivari                      13.020904   
85     fnr                            12.919981   
86     eclips                         12.843449   
87     telecontrol                    12.765266   
88     quarterli                      12.750986   
89     histori                        12.487567   
90     23                             12.262078   
91     123                            12.136616   
92     unlabel                        12.118130   
93     rbbag                          12.071118   
94     j48                            11.988774   
95     admpso                         11.974500   
96     openbsd                        11.723500   
97     code                           11.646808   
98     mccabe                         11.631355   
99     morph                          11.511964   
100    file                           11.481537   
